solexs_observation_id,hel1os_observation_id,soft_mean,soft_median,soft_max,soft_std,soft_rms,soft_skewness,soft_kurtosis,soft_signal_energy,soft_integrated_flux,soft_rise_rate,soft_decay_rate,soft_num_peaks,soft_average_peak_height,hard_mean,hard_median,hard_max,hard_std,hard_rms,hard_skewness,hard_kurtosis,hard_signal_energy,hard_integrated_flux,hard_rise_rate,hard_decay_rate,hard_num_peaks,hard_average_peak_height,hard_peak_prominence_mean,hard_burst_factor,trend_slope,trend_r2,autocorr_lag1,autocorr_lag5,autocorr_lag10,zero_crossing_rate,peak_density,longest_rising_streak,longest_falling_streak,energy_growth,rolling_std,mean_absolute_gradient,duration,signal_energy_density,coefficient_of_variation,dominant_frequency,spectral_centroid,spectral_bandwidth,spectral_entropy,spectral_energy,low_high_frequency_ratio,peak_frequency_magnitude,spectrum_std,spectrum_dynamic_range,spectral_rolloff,spectral_flatness,wavelet_total_energy,wavelet_entropy,dominant_wavelet_scale,wavelet_energy_level_0,wavelet_energy_level_1,wavelet_energy_level_2,wavelet_energy_level_3,wavelet_energy_level_4,wavelet_std,wavelet_rms,detail_std,detail_energy,shannon_entropy,energy_entropy,histogram_entropy,approximate_entropy,entropy_ratio,pearson_correlation,spearman_correlation,maximum_cross_correlation,lag_at_maximum_correlation,covariance,mean_difference,std_difference,rms_difference
AL1_SLX_L1_20240305_v1.0,HLS_20231223_205457_11097sec_lev1_V211,10.883278145695364,11.0,25.0,3.356759294672478,11.389186808501316,0.3090174440656779,0.1783985451032275,313388.0,26299.5,7.0,8.5,336,15.386904761904763,45.114759086204366,52.97073865585168,89.45112096287703,26.610887588325053,52.37824763816304,-0.14984363533087122,-1.256096767290392,6636480.117234606,109086.06510856548,27.5476643356643,16.507188811188854,332,76.95092420987459,64.51512278498207,1.9827462846904633,-0.0006153032613779076,0.016381496545039825,-0.008580889614904084,0.059708149472731335,-0.0002825006118990136,0.5041390728476821,0.13901530823334712,5,6,0.8282094062467186,3.178883182673236,0.4775404645023863,2417.0,129.71357615894038,0.30843273963370754,0.000827129576098661,0.2525867993960928,0.14744333185351613,6.604316405396711,0.0010722880089336522,0.30283599600273864,0.005002377011066976,0.0004503083674123346,0.00497872498591497,0.4301073795713037,0.8430786305206267,324187.3194872489,0.5129167120630822,0.0,299320.784337115,1601.2194017717543,3022.288476456637,6350.593062809496,13892.434209096033,4.0410208527987,43.66350662812627,3.2984933723994816,24866.53515013392,2.617704572767118,10.991692513397028,2.617704572767118,0.0840325660755243,1.0,0.026310805502286393,0.019201929509395328,16405.058621078828,-158.0,2.3502284149913293,-34.237581484536314,26.722850500352465,43.43181696377037
AL1_SLX_L1_20240310_v1.0,HLS_20231223_205457_11097sec_lev1_V311,8.348779478692594,8.0,22.0,3.093293484940081,8.903402909439253,0.4411022025308714,0.2701623809051492,191597.0,20179.5,8.5,8.0,323,12.458204334365325,45.114759086204366,52.97073865585168,89.45112096287703,26.610887588325053,52.37824763816304,-0.14984363533087122,-1.256096767290392,6636480.117234606,109086.06510856548,27.5476643356643,16.507188811188854,332,76.95092420987459,64.51512278498207,1.9827462846904633,0.00018419406957803538,0.0017261740250574208,0.10739216959009826,0.09591205366749454,0.08758714617167777,0.47165908150599917,0.1336367397600331,5,6,1.158912413940753,2.8177497491953383,0.4526696582964695,2417.0,79.27058336781134,0.3705084668764645,0.000413564858900948,0.2459165125152573,0.14842177246074265,6.169380127341165,0.001215491979990661,0.513833888770813,0.009201558238367128,0.000566767947405054,0.009158347863302913,0.41397842375984895,0.8343629518716497,197159.6323513558,0.6324960635091699,0.0,177565.83251087918,1421.7192636206778,2699.445971680094,5201.585279070052,10271.049326105802,4.877603229857953,33.630232882981375,2.927663872733603,19593.799840476626,2.5289599142879835,10.895334107875133,2.5289599142879835,0.09358186240169315,1.0,0.008668741101498446,0.011290671910892797,16024.761518350284,218.0,0.7137469342081948,-36.79191559271933,26.75903939932868,45.49385939395127
AL1_SLX_L1_20240311_v1.0,HLS_20231225_000007_43183sec_lev1_V111,7.475310046649221,7.0,30.0,4.416581107233175,8.682537012319832,1.0583894550403592,1.2046517226197109,1325143.0,131399.0,8.0,8.0,2236,11.453488372093023,28.924611322364438,11.690738655851678,89.45112096287703,26.438678720622267,39.18720291934777,0.8537006298209067,-0.8224008283473854,26996496.221048787,508458.707926204,16.910526806526846,15.67405128205132,1759,71.59632906404454,61.06518248006699,3.092560863340405,-0.0003456081291324525,0.15768930699574385,0.620878742090143,0.6145265893072803,0.6103744586677808,0.2676641256115599,0.1272044601206053,6,6,0.7805629196468282,2.567026434438571,0.4081191939878945,17578.0,75.38644897030379,0.5908224648438349,0.000113772114086536,0.23287970281600756,0.152771550513707,5.8005857079191365,0.00030218581702918374,1.9903726462059246,0.007565634041152145,0.00014640950186333722,0.007564613269495329,0.3208942477810748,0.8045770845317154,1344784.3706953924,0.5947124779578178,0.0,1221504.2433834684,9294.823843009948,16214.85017701375,33334.11957523817,64436.33371666215,14.27499020497095,33.2480631679415,2.733490981711649,123280.127311924,2.789202675279077,13.3230343723904,2.789202675279078,0.07291265237591096,0.9999999999999997,-0.05456700219385867,-0.052493186764962646,232995.57594695847,10702.0,-6.371992223099165,-21.44850183112687,27.041364638784753,34.51483206286206
AL1_SLX_L1_20240312_v1.0,HLS_20240122_205333_11178sec_lev1_V111,26.265349800014032,16.0,209.0,28.15583742229838,38.50480205205573,2.5021552918119303,7.277682342343168,126772887.0,2246193.5,29.0,38.0,3410,60.11818181818182,10.443893175416937,9.62673865585168,89.09073865585168,4.292415835428129,11.291578205182597,8.962643956111195,122.95049553297018,11015977.394628402,902312.9016173676,14.437776223776257,25.267160839160844,11062,15.27850263586624,7.520996203218224,8.530414583859915,6.468901484790972e-05,0.0032837975467652834,0.9661698268896306,0.9659093251866433,0.966015176502061,0.06879049423432274,0.03946850621542165,8,7,0.5812522634018649,4.5162735308849955,0.7172738057891027,86398.0,1482.6197810679953,1.071976487527432,3.472261990720647e-05,0.19755421236707502,0.16191828860437854,3.733825257091875,0.0007354081186159621,47.70792352860948,0.008381808762261621,0.00012904977768222906,0.008381754647293203,0.0002546325459861808,0.689815339283268,126782334.0618759,0.15204635722257592,0.0,124629174.41303079,147197.47437272113,285185.9275827768,572352.5785374892,1148423.668352134,110.78099651288274,152.62756234534572,5.182037023162348,2153159.6488451213,2.967944180367601,14.423394670091714,2.2944154320977996,0.24683763426534122,1.2935513503123492,-0.015107818210207262,0.0037072947817438887,1964775.8105876166,40469.0,-1.8297871150446612,15.820341613481018,28.546699832237227,32.63736018857978
AL1_SLX_L1_20240315_v1.0,HLS_20240123_000005_43182sec_lev1_V111,61.978888155838746,29.0,307.0,67.44381899806321,91.5972232006925,1.47940918907545,0.8748147187939237,724875262.0,5354841.0,41.0,44.5,1502,194.90545938748335,10.98975992835311,9.28273865585168,89.26273865585168,8.37902321682003,13.81965460316736,6.212004304728727,42.48701339303674,16500918.529512992,949506.0610710528,24.36025174825179,16.064358974359013,7576,22.270718109245756,14.78698041184409,8.122355650878017,-0.001541350044129529,0.3249110536462202,0.9861431390472329,0.9864209818864551,0.9862789089123526,0.02750095489426716,0.01738466168198338,7,7,0.024963219581981867,6.723034266740985,1.0550733801541148,86398.0,8390.05129807748,1.0881740703138063,1.1574208031714096e-05,0.224836746491377,0.15659186105743336,1.4226865313649573,0.0013364401817934231,69.1326794967386,0.028604357421132345,0.00017435873903777317,0.028604202578255723,3.472262409514229e-05,0.7637031005221556,724904022.1717666,0.0714351536171027,0.0,719841373.6234145,337635.0150808648,638526.6113600201,1368382.2519429934,2718104.66996826,267.94962377535734,364.90547674646666,7.90486363701291,5062648.548352139,3.214849937112352,14.670525773612091,2.5514433186800822,0.31237998912171977,1.2600122893482362,0.18335400709147817,-0.020246690863676597,11324450.607614137,5043.0,103.61859577504667,50.98903909170757,66.42020875948674,83.73485677511775
AL1_SLX_L1_20240316_v1.0,HLS_20240123_120000_31841sec_lev1_V111,86.57811396756682,22.0,2802.0,230.60265971804057,246.3196226190991,6.64528363061464,56.145336594065,5241753287.0,7480554.5,115.0,122.5,66,1791.469696969697,10.577095662956138,9.11073865585168,89.26273865585168,7.740170906687801,13.106685253261475,6.8855768442201315,52.22845122449642,14842241.135544542,913852.6425407545,15.978759906759944,13.833170163170198,7789,21.497304172334978,14.034928282332533,8.439248495073562,0.002595577346812381,0.07880451134668483,0.9983175411924223,0.998286801838538,0.9980542010276311,0.01243156274235181,0.0007639065719113868,8,8,403.1189139251731,6.8459841393215655,1.0802514167225457,86398.0,60673.3564872154,2.6635214045483484,1.1574208025511421e-05,0.10446716686336915,0.15439404051519945,4.026730744057015,0.0038046943143585955,934.410336155713,0.019015639775122342,0.000295874691322165,0.019015594414485703,0.0005324135691735254,0.3650797921296279,5241801168.088341,0.01729964000022396,0.0,5234595748.37973,469036.1070465459,942179.2013035406,1968301.737907099,3825902.6623535324,921.1904969721297,984.019156898444,9.43082299123816,7205419.708610718,1.1944318205514393,11.762126862788387,0.7819725118785388,0.6761887434153693,1.5274601119699798,-0.028589451261354943,-0.07309909978099075,36698028.45078847,59329.0,-50.998630901029635,76.00223339727965,230.95328385599126,243.13732499400552
AL1_SLX_L1_20240317_v1.0,HLS_20240123_205056_11333sec_lev1_V111,52.04943057911316,48.0,139.0,16.788807152174062,54.69010211366231,1.4305899451164994,2.3084678701833443,24687774.0,429635.5,23.5,19.5,985,63.17766497461929,18.72980155886675,9.28273865585168,89.26273865585168,20.880654040223035,28.050083414885062,1.9748641274472216,2.5106997497210974,6496666.881808656,154617.66273290687,17.567655011655063,16.55028904428908,698,64.26844424727544,57.08150550759003,4.765813368353302,-0.000875626129585313,0.015443521565003315,0.8194394494797006,0.8197752836089214,0.8194745994447036,0.2303125757208626,0.11932162325863113,7,6,0.6366478562255868,6.810192281725882,1.0710545276816201,8255.0,2991.0072692028107,0.322555059015597,0.00012112402745243133,0.2242236480282144,0.1566738529164597,3.46918979516198,0.0013873129733785472,5.953062267171528,0.01951731956472625,0.0005266780379507503,0.019515628500867875,0.07812499770681822,0.7672667835324765,24880895.777730253,0.14388327426407185,0.0,24486099.96965569,28535.11967805623,52245.9120968934,106973.47288107763,207041.30341853458,60.97325575875659,216.58309603882262,7.133368317555819,394795.8080745618,3.3990314077457007,12.713545530260651,2.7182515299141152,0.15708322648455336,1.2504477125606897,-0.0882263995757217,-0.06045318748487059,365939.7575909301,-1958.0,-30.904366392840704,33.33340789246485,27.908315550411345,43.474017051415544
AL1_SLX_L1_20240320_v1.0,HLS_20240124_000005_43180sec_lev1_V111,129.51882075144107,46.0,5699.0,448.36262056001743,466.69493723875996,8.524679224864947,81.59211069188594,18816972983.0,11189611.5,171.0,167.5,18,3875.1666666666665,10.191681572103935,9.11073865585168,89.26273865585168,6.001370415855226,11.827375876984092,8.495336930007284,84.35461472680274,12086221.259704197,880525.087091124,17.102974358974397,12.96234498834502,9170,17.734485668417143,10.17232937647841,8.758391637762344,-0.0010660417066672536,0.003516335745027809,0.9993617119144822,0.9992530163005108,0.99896755489965,0.012778665185082297,0.00020834780193068963,9,7,0.03836920262499032,8.734894166623281,1.3834651637276856,86394.0,217804.1644442901,3.461756507345507,3.4724231721720786e-05,0.07310423991981774,0.1367154834539516,4.120271278293022,0.004761172304844533,2377.826228072722,0.01496470283674352,0.00033118203174280897,0.014964667552780605,0.0005092887319185715,0.2633223612298129,18818174695.74045,0.007723576593078232,0.0,18807725037.272133,751276.0525490995,1358500.9363505985,2821590.948248667,5518290.531171531,1791.85732435049,1865.2202113389449,11.357018058844965,10449658.468319897,0.7965573410952359,10.761411981294277,0.4550103733306312,0.7933570859961959,1.7506355630191779,0.0011161553115844464,0.01575526390954631,51605421.476544686,27201.0,2.997768120781941,119.32924810290245,448.39594797191836,464.00258146958555
AL1_SLX_L1_20240321_v1.0,HLS_20240124_120000_32129sec_lev1_V211,46.54089590134204,41.0,530.0,32.99173426661836,57.0483086622094,7.545778804977776,82.35037753069466,179453655.0,2624932.5,46.5,34.0,3656,65.75574398249454,13.580134680611973,9.11073865585168,89.26273865585168,14.725218436157009,20.031278439882424,3.4158066756065173,10.92343531442643,22452864.65143626,759869.6315843484,16.497165501165544,17.503706293706337,3005,50.50028075320732,43.07688690559455,6.57303780523546,5.432969085924812e-05,0.0007177006514427223,0.9577188170211127,0.9568205452121313,0.9558411867704746,0.15533188248095756,0.06533821821106246,8,7,1.8821156170417206,6.400509850946661,1.01331972888406,55955.0,3254.509521218716,0.7088762179515117,7.148471910251473e-05,0.19078964691178546,0.1611653065081336,4.7076381354615275,0.00048155161116749263,20.836285975333848,0.00767383909532727,0.00012708407262564673,0.007673577438373139,0.0013224673033965224,0.6800185606376317,179856619.83521008,0.12397811540904824,0.0,177461112.68373406,157416.32982970774,320598.28863771446,655059.87286192,1262432.6601466825,129.24947136057423,226.73376859285196,6.806108295109828,2395507.1514760247,2.1794868341653912,14.13328991126767,1.5346770337552318,0.23138264470190026,1.4201599334762713,-0.0017197601020771842,0.017103799370863555,3987017.581411015,-2841.0,-0.8158529291194668,33.17743477783676,36.01172086034285,48.96515309647121
AL1_SLX_L1_20240322_v1.0,HLS_20240124_205533_11058sec_lev1_V111,70.53989844510511,61.0,325.0,36.898389753594486,79.60759033568287,2.7579917149439392,10.854504526760932,240877037.0,2681191.0,34.5,36.0,2946,92.1673455532926,11.366475055878619,8.93873865585168,89.26273865585168,10.71178129965725,15.618547109369604,5.053280472323732,26.154726600835442,9272365.853840593,432041.6286103463,14.360596736596765,15.078265734265766,2194,34.348873282655894,27.133502104691424,7.853159243919332,2.967260627819268e-06,7.786058705768334e-07,0.9491537275077285,0.9493546798230484,0.9491591935471307,0.10323870662211582,0.07750795864137441,7,7,1.3629267786120596,7.843907573715729,1.2391064885605683,38009.0,6337.368439053908,0.5230853824138859,5.261773213932161e-05,0.19045664875036486,0.1643096432105691,3.4943105684624354,0.0013242727604159481,41.50045077201721,0.015746948939322745,0.00025867277339503724,0.015746795341995835,0.0005787950535325377,0.6644816541132283,241510013.6636715,0.09876422144444524,0.0,239048033.48624864,160974.9923864426,328443.67201691266,657559.8737392044,1315001.6392802869,143.85582422213582,316.7901788511777,8.30974277065509,2461980.1774228467,3.0615910377320006,14.43971351159314,2.387224882308105,0.18471682805010886,1.28248958044199,-0.03838614043060314,-0.0020367774405093387,3841718.3274309556,-17615.0,-15.172801510757731,59.17330921961403,38.81473859249556,70.76767945894385
AL1_SLX_L1_20240325_v1.0,HLS_20240125_000007_43185sec_lev1_V111,133.7188979767542,129.5,278.0,58.33659009968994,145.89003194384748,0.4773873263213726,-0.8408054714449955,98885006.0,621139.0,38.0,34.0,282,180.31560283687944,27.239121953596268,10.986351958285049,89.26273865585168,25.99733697886379,37.654100637188094,0.9869425389526224,-0.5801473500130148,20504676.18533236,393903.2131476023,16.640201749791387,40.41879720279726,1304,72.2238343441196,62.5208443324434,3.277004993329702,0.03905448138347458,0.8061889008048987,0.9598773927681762,0.9600880470850476,0.9599384871783553,0.08760223848471804,0.06071044133476857,6,6,3.9625743576870414,10.983272630938357,1.7143001925610661,4645.0,21283.90142057684,0.43626286921562296,0.00021523891519586742,0.20802813625028221,0.16232869211212372,2.541381099521342,0.0033017766704493655,9.855273370584992,0.04236912972967015,0.001111565717360524,0.04235805352382885,0.0017219113215669393,0.7294581228813146,99496602.70517308,0.062375927068392324,0.0,98903423.8837676,39194.13322866619,74058.38787942604,166259.80099230155,313666.4993050841,229.1050594795763,578.042549295908,11.643758971596156,593178.8214054778,3.940037480313931,11.723247420119979,3.2628996984817205,0.12936462343147184,1.207526385854672,0.007724549650467233,-0.008041846626712465,791109.8181626414,2875.0,12.475049869391828,94.13483058606688,64.37611597540854,114.0423195026599
AL1_SLX_L1_20240326_v1.0,HLS_20240125_120006_32106sec_lev1_V111,64.52271594872492,49.0,1887.0,81.91024485419226,104.27113256061607,13.395254236859632,234.65604678890293,240031500.0,1424462.0,89.0,100.5,116,193.08620689655172,18.933638941582675,9.62673865585168,89.27912096287703,20.889961582071574,28.19349532198238,1.9565953636223274,2.448077025095211,17550004.90745331,417996.61164589686,15.898172494172535,18.279510489510532,1266,66.81499146879267,57.51644160822936,4.715370417611552,-0.003938833636017912,0.09392396610682965,0.9901292264642153,0.9802666433872648,0.9512316289734801,0.10431670969787561,0.005254337092902115,25,9,0.1019047371457634,8.212756576011408,1.3081792661898688,22077.0,10872.469085473569,1.2694791849630895,4.529395769310044e-05,0.16396394260139358,0.16562103053842472,4.278409184329038,0.0011904820805663408,29.73088763102724,0.015996411831158637,0.00031565348050782845,0.015996085817671098,0.003261164953903232,0.6036665980251809,240780405.9726038,0.06780394155738481,0.0,239232584.26469007,326933.65356312867,170691.59729831252,351523.26384203765,698673.1932102087,325.30896475723904,415.4593628183821,8.643636443705274,1547821.7079136875,1.4149548492642825,10.4825796716855,0.7587696153405419,0.3969053728103163,1.8648016745230889,-0.05659104957569355,-0.01682723933272274,6153719.071389851,-16876.0,-96.83331613533726,45.59060082949281,85.66971125771344,97.0453621301613
AL1_SLX_L1_20240331_v1.0,HLS_20240126_000011_43179sec_lev1_V211,123.16365652724969,128.0,266.0,59.653737787365,136.84975236063102,0.09430011399687653,-1.1077342734454003,118210219.0,777510.5,30.0,31.5,355,176.58591549295775,14.59908681439431,9.45473865585168,89.26273865585168,15.70734966160112,21.444210622124157,3.1030073745880085,8.771933585332627,24432511.864085183,775624.5267969281,24.943608391608425,17.00775291375295,2511,46.414877191533485,37.498691027030574,6.114268638216536,0.02042193410636304,0.38928960453155,0.9660519885144884,0.9655447287995548,0.9647556694859035,0.06844106463878327,0.05624207858048162,6,7,2.591347817791615,10.355237575486315,1.6469751994942152,6312.0,18727.854721166033,0.48434529689500366,0.00015840329081267938,0.20236005412191344,0.1621352666010713,1.8581040391921217,0.006167754475172206,27.873158211459494,0.05400775344995956,0.0013613747338386934,0.05400596553478696,0.0006336131632507175,0.6955676247255734,118656456.31868589,0.06438798418653968,0.0,117924890.62261252,45306.84733336051,106444.0811556759,206533.09464231902,373281.6729420164,236.15954440463017,542.2886998376439,11.099477175590708,731565.6960733719,3.9192441310174218,12.11797026399627,3.2405410002140593,0.13343371149444552,1.2094413033991946,0.4452684606160239,0.4094894514371337,4663863.218940004,35.0,735.0874059241133,90.42751940618982,53.425279007210634,105.03045607325113
AL1_SLX_L1_20240401_v1.0,HLS_20240126_115949_32052sec_lev1_V211,651.0689612632618,67.0,3329.0,953.240889023143,1154.3651869430466,1.377288277455845,0.3880037384474617,10801723131.0,5277407.0,120.5,115.0,1,3329.0,34.13275619048907,22.18273865585168,89.26273865585168,27.465863599087495,43.81117104578522,0.4723571166841911,-1.3045079028589,15560727.469023522,276695.94169763906,15.697906759906797,16.839361305361344,957,72.2583682884217,61.976083855049836,2.615163515002762,0.2329277898418118,0.32694088344833355,0.9992626982828562,0.9992522004859429,0.999088666227593,0.005674808783617074,0.00012338062924120913,7,7,1368.9955584980396,19.54674164311365,3.047446221021358,8105.0,1332558.984826055,1.4641166231816372,0.0001233654083395016,0.08347141596216508,0.1444204849879645,1.5439352036582743,0.059281612577347695,2156.284586757577,0.1645403934741375,0.0038160380861988587,0.16453863869492596,0.0004934616333580064,0.29205592038828954,10803374615.424337,0.0065285546675190615,0.0,10798389126.75526,298685.2431931813,647444.0157087172,1385370.711246588,2653988.698928544,3796.344935613114,4587.972479773222,25.58023412325283,4985488.669077029,2.5298482950603574,10.976159557491355,2.0169974146774887,0.3958270955134973,1.2542645204455414,-0.025826769748711027,-0.10874178798107532,29753237.667729065,5233.0,-676.3085909692941,616.9354098571874,954.3453800494098,1136.3909557706397
AL1_SLX_L1_20240402_v1.0,HLS_20240126_205416_11140sec_lev1_V211,11.601012658227848,11.0,28.0,3.525071000249753,12.124752379045296,0.27273800151990096,0.21884507841207723,290344.0,22903.0,9.0,8.5,273,16.34065934065934,41.68342910294462,45.40273865585168,89.26273865585168,27.076274819123615,49.70546167033274,0.018103408802731927,-1.384674533531773,4881970.649645173,82353.90516876269,20.813202797202827,26.629930069929948,268,75.02769084648598,63.54706257091265,2.141444228002488,-0.0011299582524439712,0.033399648907721374,0.038638378661216805,0.05385193205708872,0.05774315472306675,0.4830379746835443,0.13829787234042554,5,6,0.8036477487327304,3.32190844034924,0.5305632763860625,1974.0,147.00962025316457,0.3038589047439448,0.0005063291139240507,0.24684310708895393,0.14476303165971005,6.41111782429406,0.001322696558365053,0.26785819277422723,0.005005407784109972,0.0005606448800763895,0.004963558871878806,0.4207594936708861,0.8385021809314187,300913.250066225,0.5020601165453733,0.0,278572.3516347046,1353.5300908864192,2736.4857597554014,6528.944490824966,11721.938090053625,4.6032369473179635,46.29108168258635,3.453355996697991,22340.898431520414,2.6654249351368176,10.70836209815155,2.665424935136817,0.08132637619001402,1.0000000000000002,0.007921799362651846,0.005475748253463919,12382.276300740112,-103.0,0.7565021055403941,-30.09551249051276,27.277662128306048,40.61786212065613
AL1_SLX_L1_20240403_v1.0,HLS_20240127_000011_43179sec_lev1_V311,3.2035398230088497,3.0,18.0,1.8825524713265558,3.715732929705968,0.8058714515845337,1.4339581007284234,141974.0,32942.5,5.0,5.0,1445,5.635294117647059,34.30981867268918,22.35473865585168,89.26273865585168,27.639047966971066,44.057696601993825,0.4631518017250057,-1.320787014374702,19964014.278247286,352865.3963099523,17.51513286713287,24.70665734265736,1184,73.8317636558421,64.05673890359799,2.6016674558209,-1.8886115870825896e-05,0.0008870742434163436,0.10174866458638161,0.10775194981945008,0.09124939064264247,0.4639696586599241,0.14052319362053875,5,6,0.9405429047866378,1.7166004829974526,0.2751670083188129,10283.0,13.806671204901294,0.5876475946406099,9.723842770739487e-05,0.24702998462718573,0.14529983765083668,8.106215329482946,0.0002475241488964927,0.29055639085130786,0.001599693956953423,0.00010157002788455968,0.001596404926239251,0.42240372996092335,0.8484590561736398,142566.10229765662,1.115474194355912,0.0,111533.67122361912,2096.4108223241305,4207.104953897442,8423.553377110651,16305.361920705243,2.926941168312536,13.10933465886734,1.792231216273991,31032.431074037464,1.9972881083174587,12.599375039499634,1.9972881083174587,0.15478770878490375,1.0,-0.013138494885424746,-0.010367224431985872,36314.20664747537,-755.0,-0.6837349015215866,-31.106964851823058,27.729639365311694,41.67224689913899
