,hard_mean,hard_median,hard_max,hard_std,hard_rms,hard_skewness,hard_kurtosis,hard_signal_energy,hard_integrated_flux,hard_rise_rate,hard_decay_rate,hard_num_peaks,hard_average_peak_height,hard_peak_prominence_mean,hard_burst_factor
hard_mean,1.0,0.9824336890674903,0.32960609322390066,0.9999280196190639,0.9999146545247135,-0.9964071872300613,-0.9930835397625497,-0.8799753036229018,-0.9863502582434259,0.4263675328432095,0.9723708814163334,-0.9997582468540552,0.9929638165887797,0.9921273137589857,-0.9990569573718936
hard_median,0.9824336890674903,1.0,0.4999999999999994,0.9801239742667252,0.9799118321408354,-0.9947085146718605,-0.9975488230655899,-0.775873046515591,-0.9382960443910229,0.587677734799348,0.9117269479038932,-0.9780930606069757,0.9534228545342655,0.9513292472732222,-0.989609690283417
hard_max,0.32960609322390066,0.4999999999999994,1.0,0.31825469304868703,0.3172434355636768,-0.40838106963607546,-0.43817524321886453,0.15842943630407194,-0.16964777209525275,0.9945357776367825,0.10010304986097672,-0.3087676530206594,0.2154861502765677,0.2087760748715483,-0.37028779541410056
hard_std,0.9999280196190639,0.9801239742667252,0.31825469304868703,1.0,0.99999943125622,-0.9953193194702042,-0.9916033558305404,-0.8856113166670304,-0.9882548847971581,0.4154839168578306,0.9751017540329525,-0.9999500925469311,0.9943131413245443,0.9935584685209536,-0.9984640991215912
hard_rms,0.9999146545247135,0.9799118321408354,0.3172434355636768,0.99999943125622,1.0,-0.9952156829865064,-0.9914648717616649,-0.8861061387069546,-0.9884173040926486,0.4145135638816589,0.9753377110138539,-0.9999601791282716,0.9944261569384213,0.993678763366079,-0.9984044427417325
hard_skewness,-0.9964071872300613,-0.9947085146718605,-0.40838106963607546,-0.9953193194702042,-0.9952156829865064,1.0,0.9994592430067059,0.8365834204373365,0.9688610539297778,-0.5014437297343382,-0.9491067434542276,0.9943041440429607,-0.9793672256234917,-0.9779565357780032,0.9991447569096961
hard_kurtosis,-0.9930835397625497,-0.9975488230655899,-0.43817524321886453,-0.9916033558305404,-0.9914648717616649,0.9994592430067059,1.0,0.8181170080592661,0.9601954028572193,-0.5296216993569298,-0.9382371915972789,0.9902619148276568,-0.9721925591287668,-0.9705616697488453,0.9972448213757248
hard_signal_energy,-0.8799753036229018,-0.775873046515591,0.15842943630407194,-0.8856113166670304,-0.8861061387069546,0.8365834204373365,0.8181170080592661,1.0,0.9461809325419231,0.0544859384968252,-0.9665515453040237,0.8902070317427203,-0.9300345602647803,-0.9325358120440584,0.858520655069864
hard_integrated_flux,-0.9863502582434259,-0.9382960443910229,-0.16964777209525275,-0.9882548847971581,-0.9884173040926486,0.9688610539297778,0.9601954028572193,0.9461809325419231,1.0,-0.2716038274582491,-0.9975369034376188,0.9897322749258385,-0.9989089407630799,-0.9992060524353319,0.9782707079308449
hard_rise_rate,0.4263675328432095,0.587677734799348,0.9945357776367825,0.4154839168578306,0.4145135638816589,-0.5014437297343382,-0.5296216993569298,0.0544859384968252,-0.2716038274582491,1.0,0.2034279875727691,-0.4063757112230124,0.3162523908411303,0.3097310417561027,-0.465239965099943
hard_decay_rate,0.9723708814163334,0.9117269479038932,0.10010304986097672,0.9751017540329525,0.9753377110138539,-0.9491067434542276,-0.9382371915972789,-0.9665515453040237,-0.9975369034376188,0.2034279875727691,1.0,-0.9772685873622223,0.9931727963269387,0.993950355459702,-0.9613181404284199
hard_num_peaks,-0.9997582468540552,-0.9780930606069757,-0.3087676530206594,-0.9999500925469311,-0.9999601791282716,0.9943041440429607,0.9902619148276568,0.8902070317427203,0.9897322749258385,-0.4063757112230124,-0.9772685873622223,1.0,-0.9953274773824018,-0.9946410256850775,0.9978607626789158
hard_average_peak_height,0.9929638165887797,0.9534228545342655,0.2154861502765677,0.9943131413245443,0.9944261569384213,-0.9793672256234917,-0.9721925591287668,-0.9300345602647803,-0.9989089407630799,0.3162523908411303,0.9931727963269387,-0.9953274773824018,1.0,0.9999764266395237,-0.9868858301916451
hard_peak_prominence_mean,0.9921273137589857,0.9513292472732222,0.2087760748715483,0.9935584685209536,0.993678763366079,-0.9779565357780032,-0.9705616697488453,-0.9325358120440584,-0.9992060524353319,0.3097310417561027,0.993950355459702,-0.9946410256850775,0.9999764266395237,1.0,-0.9857542080160234
hard_burst_factor,-0.9990569573718936,-0.989609690283417,-0.37028779541410056,-0.9984640991215912,-0.9984044427417325,0.9991447569096961,0.9972448213757248,0.858520655069864,0.9782707079308449,-0.465239965099943,-0.9613181404284199,0.9978607626789158,-0.9868858301916451,-0.9857542080160234,1.0
