,pearson_correlation,spearman_correlation,maximum_cross_correlation,lag_at_maximum_correlation,covariance,mean_difference,std_difference,rms_difference
pearson_correlation,1.0,0.8818543585147749,-0.2791725233423343,-0.05493216846400352,0.36042391757090336,-0.2774446556582259,-0.31269685330042674,-0.3094516381020771
spearman_correlation,0.8818543585147749,1.0,-0.451875801782334,-0.1288984133166996,0.4213486106323141,-0.4026068341222043,-0.4288048496998181,-0.429948414912144
maximum_cross_correlation,-0.2791725233423343,-0.451875801782334,1.0,0.21351714496561855,-0.871491203134131,0.8586271583033154,0.9461764020780247,0.9341210557925373
lag_at_maximum_correlation,-0.05493216846400352,-0.1288984133166996,0.21351714496561855,1.0,-0.0880690690465635,0.10761748942318888,0.15129889640070346,0.14005932270709967
covariance,0.36042391757090336,0.4213486106323141,-0.871491203134131,-0.0880690690465635,1.0,-0.9130285550621946,-0.9308416575626117,-0.9330801540518328
mean_difference,-0.2774446556582259,-0.4026068341222043,0.8586271583033154,0.10761748942318888,-0.9130285550621946,1.0,0.9584108812570356,0.9738103355889677
std_difference,-0.31269685330042674,-0.4288048496998181,0.9461764020780247,0.15129889640070346,-0.9308416575626117,0.9584108812570356,1.0,0.9976845543282017
rms_difference,-0.3094516381020771,-0.429948414912144,0.9341210557925373,0.14005932270709967,-0.9330801540518328,0.9738103355889677,0.9976845543282017,1.0
