,shannon_entropy,energy_entropy,histogram_entropy,approximate_entropy,entropy_ratio
shannon_entropy,1.0,0.14579633606158005,0.9315139775625993,-0.6383652567406206,-0.4036019775855205
energy_entropy,0.14579633606158005,1.0,0.17397142003461682,-0.3823130293798976,-0.2664158851988935
histogram_entropy,0.9315139775625993,0.17397142003461682,1.0,-0.7785883018092088,-0.6811500508834719
approximate_entropy,-0.6383652567406206,-0.3823130293798976,-0.7785883018092088,1.0,0.7349125500867155
entropy_ratio,-0.4036019775855205,-0.2664158851988935,-0.6811500508834719,0.7349125500867155,1.0
