HEL1OS Observation,SoLEXS Observation,HEL1OS Event Start (MJD),HEL1OS Event End (MJD),HEL1OS HK Start (MJD),HEL1OS HK End (MJD),SoLEXS LC Start (Unix),SoLEXS LC End (Unix),SoLEXS GTI Start (Unix),SoLEXS GTI End (Unix)
HLS_20260624_000009_43175sec_lev1_V111,AL1_SLX_L1_20240521_v1.0,61215.00010716744,61215.499742093765,61215.00010716744,61215.49982393338,1716249600.0,1716335999.0,1716265455.0,1716335999.0
HLS_20260624_120001_43196sec_lev1_V111,AL1_SLX_L1_20240523_v1.0,61215.50001434307,61215.99988423043,61215.50001434307,61215.999976818064,1716422400.0,1716508799.0,1716422401.0,1716508799.0
HLS_20240608_115959_6551sec_lev1_V111,AL1_SLX_L1_20240528_v1.0,60469.499990200726,60469.575794025746,60469.499990200726,60469.57582221026,1716854400.0,1716940799.0,1716856419.0,1716940799.0
HLS_20240608_140923_35440sec_lev1_V111,AL1_SLX_L1_20240529_v1.0,60469.58985507918,60470.000008276314,60469.58985507918,60470.00004206303,1716940800.0,1717027199.0,1716940801.0,1717027199.0
HLS_20240609_000008_5052sec_lev1_V111,AL1_SLX_L1_20260330_v1.0,60470.00010432322,60470.05852963234,60470.00010143902,60470.05857612838,1774828800.0,1774915199.0,1774828801.0,1774915199.0
HLS_20240609_012425_38128sec_lev1_V111,AL1_SLX_L1_20260331_v1.0,60470.05863162364,60470.4999393507,60470.05863162364,60470.4999393507,1774915200.0,1775001599.0,1774915201.0,1775001599.0
HLS_20240609_120003_14731sec_lev1_V111,AL1_SLX_L1_20260401_v1.0,60470.50004236494,60470.670422063245,60470.50004236494,60470.67055108801,1775001600.0,1775087999.0,1775001601.0,1775087999.0
HLS_20240609_120003_43192sec_lev1_V111,AL1_SLX_L1_20260404_v1.0,60470.50004236494,60470.99981466522,60470.50004236494,60470.99995925694,1775260800.0,1775347199.0,1775260801.0,1775347199.0
HLS_20240609_160545_28450sec_lev1_V111,AL1_SLX_L1_20260405_v1.0,60470.670732639606,60470.99981466522,60470.67066565886,60470.99995925694,1775347200.0,1775433599.0,1775347201.0,1775433599.0
HLS_20240610_000008_5127sec_lev1_V111,AL1_SLX_L1_20260406_v1.0,60471.00009837062,60471.05937516521,60471.00009431827,60471.059444284525,1775433600.0,1775519999.0,1775433601.0,1775519999.0
HLS_20240610_000409_42937sec_lev1_V211,AL1_SLX_L1_20260407_v1.0,60471.00288753693,60471.499791617956,60471.00288753693,60471.49984923869,1775520000.0,1775606399.0,1775520001.0,1775606399.0
HLS_20240610_012547_38039sec_lev1_V111,AL1_SLX_L1_20260408_v1.0,60471.059576253465,60471.499791617956,60471.059576253465,60471.49984923869,1775606400.0,1775692799.0,1775606401.0,1775692799.0
HLS_20240610_121027_14055sec_lev1_V111,AL1_SLX_L1_20260409_v1.0,60471.50726688688,60471.66984966233,60471.50726688688,60471.669942249224,1775692800.0,1775779199.0,1775692801.0,1775779199.0
HLS_20240610_121704_42169sec_lev1_V211,AL1_SLX_L1_20260410_v1.0,60471.511859828934,60471.999843002326,60471.511859828934,60471.999930606,1775779200.0,1775865599.0,1775779201.0,1775865599.0
HLS_20240610_160454_28499sec_lev1_V111,AL1_SLX_L1_20260411_v1.0,60471.67007340887,60471.999843002326,60471.67007340887,60471.999930606,1775865600.0,1775951999.0,1775865601.0,1775951999.0
HLS_20240610_235953_30235sec_lev1_V111,AL1_SLX_L1_20260412_v1.0,60471.999927412675,60472.349826640144,60471.999927412675,60472.34987613709,1775952000.0,1776038399.0,1775952001.0,1776038399.0
HLS_20240611_082401_12950sec_lev1_V111,AL1_SLX_L1_20260413_v1.0,60472.35001456015,60472.49980623424,60472.35001456015,60472.49990732402,1776038400.0,1776124799.0,1776038401.0,1776124799.0
HLS_20240517_120002_3439sec_lev1_V111,AL1_SLX_L1_20260414_v1.0,60447.50003277856,60447.53968722075,60447.50002752966,60447.53983811327,1776124800.0,1776211199.0,1776124801.0,1776211199.0
HLS_20240517_125734_39743sec_lev1_V111,AL1_SLX_L1_20260418_v1.0,60447.5400669168,60447.999884205485,60447.53998141532,60447.99997679321,1776470400.0,1776556799.0,1776470401.0,1776556799.0
HLS_20240518_000011_43178sec_lev1_V111,AL1_SLX_L1_20260419_v1.0,60448.00013139645,60448.49969677292,60448.00013139645,60448.49988424826,1776556800.0,1776643199.0,1776556801.0,1776643199.0
